<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,60,20171120,010000,69.4562000,69.6904000,69.4456000,69.6839000,59
EURRUB,60,20171120,020000,69.7720000,69.7780000,69.5554000,69.5554000,96
EURRUB,60,20171120,030000,69.5350000,69.5523000,69.2170000,69.4200000,182
EURRUB,60,20171120,040000,69.3150000,69.5040000,69.3150000,69.4094000,240
EURRUB,60,20171120,050000,69.4280000,69.4920000,69.3966000,69.4356000,235
EURRUB,60,20171120,060000,69.4560000,69.4690000,69.3243000,69.4130000,224
EURRUB,60,20171120,070000,69.3910000,69.5540000,69.3010000,69.4210000,395
EURRUB,60,20171120,080000,69.5590000,69.5590000,69.2450000,69.4620000,192
EURRUB,60,20171120,090000,69.5010000,69.5590000,69.4420000,69.5075000,212
EURRUB,60,20171120,100000,69.4650000,69.6560000,69.4610000,69.5640000,626
EURRUB,60,20171120,110000,69.5830000,69.7620000,69.4291000,69.7190000,7752
EURRUB,60,20171120,120000,69.7190000,69.8680000,69.6104000,69.8250000,9435
EURRUB,60,20171120,130000,69.8250000,69.8970000,69.6836000,69.8480000,8356
EURRUB,60,20171120,140000,69.8480000,69.9480000,69.7200000,69.9460000,8041
EURRUB,60,20171120,150000,69.9450000,69.9840000,69.7677000,69.8610000,7779
EURRUB,60,20171120,160000,69.8600000,70.1970000,69.7930000,70.1030000,8468
EURRUB,60,20171120,170000,70.1100000,70.1600000,69.8404000,69.9570000,8888
EURRUB,60,20171120,180000,69.9570000,70.0350000,69.7250000,69.8610000,8854
EURRUB,60,20171120,190000,69.8610000,69.9330000,69.7250000,69.8230000,8985
EURRUB,60,20171120,200000,69.8230000,69.8530000,69.5870000,69.7310000,8782
EURRUB,60,20171120,210000,69.7310000,69.7710000,69.6053000,69.7170000,5519
EURRUB,60,20171120,220000,69.7170000,69.7340000,69.5450000,69.6070000,4667
EURRUB,60,20171120,230000,69.5380000,69.6610000,69.5100000,69.6120000,5417
EURRUB,60,20171121,000000,69.6120000,69.7280000,69.4961000,69.5930000,4145
